Energy 	 total 	 metal 	 mol 
1.4000000000000001 	 2.890818105940568 	 0.0017537261134003607 	 0.015283618849968298 
1.42 	 3.4421117612035435 	 0.001787989011541985 	 0.017028078970480396 
1.44 	 4.091999556328835 	 0.0018234279769666893 	 0.019133702645761835 
1.46 	 4.811036121297967 	 0.0018601194491452075 	 0.021691748247676796 
1.48 	 5.518001228987424 	 0.0018981462709159918 	 0.024814993225922614 
1.5 	 6.073477813092987 	 0.0019375944500107177 	 0.028632975641693002 
1.52 	 6.324570914721243 	 0.001978546638046475 	 0.033268605562140924 
1.54 	 6.19880329117341 	 0.002021073500587973 	 0.03877927952299156 
1.56 	 5.760705585478571 	 0.0020652301646675703 	 0.04504440401496303 
1.58 	 5.161159701785315 	 0.002111069541387603 	 0.051601848887994135 
1.6 	 4.540698414950822 	 0.0021586735665441972 	 0.05751320087129815 
